이름,종류,주소,평점,리뷰수,전화번호,영업시간
하레하레 유성점,빵집,대전광역시 유성구 봉명동 1017-7,3.0,1.0,042-477-1596,금요일: 오전 10:00~오후 8:00 | 토요일: 오전 10:00~오후 8:00 | 일요일: 오전 10:00~오후 8:00 | 월요일: 오전 10:00~오후 8:00 | 화요일: 오전 10:00~오후 8:00 | 수요일: 오전 10:00~오후 8:00 | 목요일: 오전 10:00~오후 8:00
하루팡,빵집,대전광역시 유성구 봉명동 611-1 호 그랑펠리체,4.6,9.0,정보 없음,정보 없음
르뺑99-1,빵집,대전광역시 유성구 봉명동 650,342.0,342.0,정보 없음,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00
몽심도안점,빵집,대전광역시 서구 도안동 998,4.8,19.0,정보 없음,정보 없음
꾸드뱅,빵집,대전광역시 유성구 지족동 575-5,4.3,517.0,042-825-3033,금요일: 오전 8:30~오후 10:00 | 토요일: 오전 8:30~오후 10:00 | 일요일: 오전 8:30~오후 10:00 | 월요일: 오전 8:30~오후 10:00 | 화요일: 오전 8:30~오후 10:00 | 수요일: 오전 8:30~오후 10:00 | 목요일: 오전 8:30~오후 10:00
몽심 한남대점,빵집,대전광역시 대덕구 오정동 175-45 1층,4.4,18.0,정보 없음,금요일: 오후 12:00~8:00 | 토요일: 오후 12:00~8:00 | 일요일: 오후 12:00~8:00 | 월요일: 오후 12:00~8:00 | 화요일: 오후 12:00~8:00 | 수요일: 오후 12:00~8:00 | 목요일: 오후 12:00~8:00
몽심 대흥점,빵집,대전광역시 중구 중교로 32 1 층,4.5,2.0,정보 없음,금요일: 오전 11:00~오후 7:00 | 토요일: 오전 11:00~오후 7:00 | 일요일: 오전 11:00~오후 7:00 | 월요일: 오전 11:00~오후 7:00 | 화요일: 오전 11:00~오후 7:00 | 수요일: 오전 11:00~오후 7:00 | 목요일: 오전 11:00~오후 7:00
비머스트 봉명점,빵집,대전광역시 유성구 봉명서로 21-3 비머스트 1층,4.8,6.0,050-71360-9137,금요일: 오전 11:00~오후 7:00 | 토요일: 오전 11:00~오후 7:00 | 일요일: 오전 11:00~오후 7:00 | 월요일: 오전 11:00~오후 7:00 | 화요일: 휴무일 | 수요일: 휴무일 | 목요일: 오전 11:00~오후 7:00
비머스트 도안점,빵집,대전광역시 서구 용소로46번길 34,5.0,1.0,정보 없음,금요일: 오전 10:00~오후 8:00 | 토요일: 오전 10:00~오후 8:00 | 일요일: 오전 10:00~오후 8:00 | 월요일: 휴무일 | 화요일: 휴무일 | 수요일: 오전 10:00~오후 8:00 | 목요일: 오전 10:00~오후 8:00
빵 한모금,빵집,대전광역시 동구 자양동 197-8,4.5,188.0,정보 없음,금요일: 오전 11:00~오후 8:00 | 토요일: 오전 11:00~오후 8:00 | 일요일: 오전 11:00~오후 8:00 | 월요일: 휴무일 | 화요일: 휴무일 | 수요일: 오전 11:00~오후 8:00 | 목요일: 오전 11:00~오후 8:00
연선흠과자점,빵집,"대전광역시 유성구 지족로148번길 39-23 1,2층",4.3,133.0,정보 없음,정보 없음
싶빵공장 둔산월평직영점,빵집,대전광역시 서구 청사로 130 105호,4.7,67.0,042-488-1856,금요일: 오전 8:00~오후 7:00 | 토요일: 오전 8:00~오후 7:00 | 일요일: 휴무일 | 월요일: 오전 8:00~오후 7:00 | 화요일: 오전 8:00~오후 7:00 | 수요일: 오전 8:00~오후 7:00 | 목요일: 오전 8:00~오후 7:00
소신 대전,빵집,대전광역시 유성구 농대로15번길 7,4.3,272.0,010-8558-9746,금요일: 오후 12:00~11:00 | 토요일: 오후 12:00~11:00 | 일요일: 오후 12:00~11:00 | 월요일: 오후 12:00~11:00 | 화요일: 오후 12:00~11:00 | 수요일: 오후 12:00~11:00 | 목요일: 오후 12:00~11:00
에이트 대전,빵집,대전광역시 유성구 한밭대로 458,4.2,383.0,042-716-1195,금요일: 오전 10:00~오전 2:00 | 토요일: 오전 10:00~오전 2:00 | 일요일: 오전 10:00~오전 2:00 | 월요일: 오전 10:00~오전 2:00 | 화요일: 오전 10:00~오전 2:00 | 수요일: 오전 10:00~오전 2:00 | 목요일: 오전 10:00~오전 2:00
극독제과 대전중구점,빵집,대전광역시 중구 대사동 99-1,4.6,45.0,042-226-6796,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00
이봉구케잌과자점,빵집,대전광역시 중구 계백로 1615번길 37,4.5,,042-524-5487,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00
글로리아제과점,빵집,대전광역시 유성구 봉명동 561-10번지 1층,4.4,,정보 없음,정보 없음
이너프케이크,빵집,대전광역시 서구 갈마동 306-18,5.0,1.0,010-4009-3811,금요일: 오전 11:00~오후 7:00 | 토요일: 오전 11:00~오후 7:00 | 일요일: 휴무일 | 월요일: 오전 11:00~오후 7:00 | 화요일: 오전 11:00~오후 7:00 | 수요일: 오전 11:00~오후 7:00 | 목요일: 오전 11:00~오후 7:00
샤를몽탁,빵집,대전광역시 동구 대청동 회남로 172,,189.0,정보 없음,금요일: 오전 10:30~오후 10:00 | 토요일: 오전 10:30~오후 10:00 | 일요일: 오전 10:30~오후 10:00 | 월요일: 오전 10:30~오후 10:00 | 화요일: 오전 10:30~오후 10:00 | 수요일: 오전 10:30~오후 10:00 | 목요일: 오전 10:30~오후 10:00
소올투베이커리,빵집,대전광역시 서구 둔지로 32,3.8,,정보 없음,정보 없음
인셉트,빵집,대전광역시 서구 갈마역로25번길 67 102호,3.8,6.0,정보 없음,정보 없음
작은숩,빵집,대전광역시 동구 성동로 17,4.92,225.0,정보 없음,정보 없음
윈도우로맨스,빵집,대전광역시 중구 과례로 84-2 1층,4.6,18.0,정보 없음,금요일: 오전 10:00~오후 9:00 | 토요일: 오전 10:00~오후 9:00 | 일요일: 오전 10:00~오후 9:00 | 월요일: 휴무일 | 화요일: 오전 10:00~오후 9:00 | 수요일: 오전 10:00~오후 9:00 | 목요일: 오전 10:00~오후 9:00
이케엔솜,빵집,대전광역시 서구 용소로 51,,,정보 없음,금요일: 오후 1:00~8:00 | 토요일: 오후 1:00~8:00 | 일요일: 오후 1:00~8:00 | 월요일: 휴무일 | 화요일: 오후 1:00~8:00 | 수요일: 오후 1:00~8:00 | 목요일: 오후 1:00~8:00
베이크샵 수하,빵집,대전광역시 유성구 지족북로 78,5.0,2.0,정보 없음,정보 없음
마마 러프 파이,빵집,대전광역시 서구 둔산동 1129,,,042-477-1380,금요일: 오전 10:00~오후 7:00 | 토요일: 오전 10:00~오후 7:00 | 일요일: 휴무일 | 월요일: 오전 10:00~오후 7:00 | 화요일: 오전 10:00~오후 7:00 | 수요일: 오전 10:00~오후 7:00 | 목요일: 오전 10:00~오후 7:00
콜드버터 베이크샵,빵집,대전광역시 중구 대흥동 중앙로112번길 37,4.6,8.0,010-3412-3832,금요일: 오후 12:00~8:00 | 토요일: 오후 12:00~8:00 | 일요일: 휴무일 | 월요일: 휴무일 | 화요일: 오후 12:00~8:00 | 수요일: 오후 12:00~8:00 | 목요일: 오후 12:00~8:00
이이디 에스프레소 바,빵집,대전광역시 중구 중앙로129번길 30 2층,4.63,414.0,정보 없음,금요일: 오전 11:30~오후 9:00 | 토요일: 오후 12:00~9:00 | 일요일: 오후 12:00~9:00 | 월요일: 오전 11:30~오후 9:00 | 화요일: 오전 11:30~오후 9:00 | 수요일: 오전 11:30~오후 9:00 | 목요일: 오전 11:30~오후 9:00
달케 디저트,빵집,대전광역시 서구 괴정동 7-17,4.0,1.0,050-71407-7976,금요일: 오전 11:30~오후 10:00 | 토요일: 오전 11:30~오후 10:00 | 일요일: 오전 11:30~오후 10:00 | 월요일: 휴무일 | 화요일: 휴무일 | 수요일: 오전 11:30~오후 10:00 | 목요일: 오전 11:30~오후 10:00
SSAW,빵집,대전광역시 서구 둔산동 1435,4.5,139.0,042-477-0227,금요일: 오전 9:00~오후 11:00 | 토요일: 오전 9:00~오후 11:00 | 일요일: 오전 11:00~오후 11:00 | 월요일: 오전 9:00~오후 11:00 | 화요일: 오전 9:00~오후 11:00 | 수요일: 오전 9:00~오후 11:00 | 목요일: 오전 9:00~오후 11:00
